,,,,,,,
?????,????? ???,?????? ???????,?????? ??????? ??? ????,?????? ?? ???????,?????? ??????? ?-100 ??? ??????,?????? ??????? ??? ???? ?-100 ??? ??????,?????? ?? ??????? ?-100 ??? ??????
12-05-2021,??? ?????????,0,0,0,0,0,0
12-05-2021,???? ???? 60,0,0,0,0,0,0
12-05-2021,??? ??? 60,0,0,0,0,0,0
13-05-2021,???? ???? 60,0,0,2,0,0,0.1
13-05-2021,??? ?????????,0,0,2,0,0,0.1
13-05-2021,??? ??? 60,0,0,0,0,0,0
14-05-2021,???? ???? 60,0,0,0,0,0,0
14-05-2021,??? ?????????,0,0,0,0,0,0
14-05-2021,??? ??? 60,0,0,0,0,0,0
15-05-2021,???? ???? 60,0,0,0,0,0,0
15-05-2021,??? ??? 60,1,0,0,0.1,0,0
15-05-2021,??? ?????????,1,0,0,0,0,0
16-05-2021,???? ???? 60,0,0,0,0,0,0
16-05-2021,??? ??? 60,0,0,1,0,0,0.5
16-05-2021,??? ?????????,0,0,1,0,0,0
17-05-2021,???? ???? 60,0,0,0,0,0,0
17-05-2021,??? ??? 60,1,0,2,0.1,0,1
17-05-2021,??? ?????????,1,0,2,0,0,0.1
18-05-2021,??? ?????????,0,0,0,0,0,0
18-05-2021,??? ??? 60,0,0,0,0,0,0
18-05-2021,???? ???? 60,0,0,0,0,0,0
19-05-2021,??? ??? 60,0,0,0,0,0,0
19-05-2021,???? ???? 60,0,0,0,0,0,0
19-05-2021,??? ?????????,0,0,0,0,0,0
20-05-2021,??? ?????????,0,0,0,0,0,0
20-05-2021,???? ???? 60,0,0,0,0,0,0
20-05-2021,??? ??? 60,0,0,0,0,0,0
21-05-2021,???? ???? 60,0,0,1,0,0,0
21-05-2021,??? ?????????,1,0,1,0,0,0
21-05-2021,??? ??? 60,1,0,0,0.1,0,0
22-05-2021,??? ?????????,0,0,0,0,0,0
22-05-2021,???? ???? 60,0,0,0,0,0,0
22-05-2021,??? ??? 60,0,0,0,0,0,0
23-05-2021,??? ??? 60,0,0,0,0,0,0
23-05-2021,???? ???? 60,0,0,1,0,0,0
23-05-2021,??? ?????????,0,0,1,0,0,0
24-05-2021,??? ?????????,0,0,1,0,0,0
24-05-2021,??? ??? 60,0,0,0,0,0,0
24-05-2021,???? ???? 60,0,0,1,0,0,0
25-05-2021,??? ?????????,1,0,0,0,0,0
25-05-2021,??? ??? 60,1,0,0,0.1,0,0
25-05-2021,???? ???? 60,0,0,0,0,0,0
26-05-2021,??? ??? 60,0,0,0,0,0,0
26-05-2021,???? ???? 60,0,0,0,0,0,0
26-05-2021,??? ?????????,0,0,0,0,0,0
27-05-2021,???? ???? 60,0,0,1,0,0,0
27-05-2021,??? ??? 60,0,0,1,0,0,0.5
27-05-2021,??? ?????????,0,0,2,0,0,0.1
28-05-2021,??? ??? 60,0,0,1,0,0,0.5
28-05-2021,???? ???? 60,0,0,0,0,0,0
28-05-2021,??? ?????????,0,0,1,0,0,0
29-05-2021,???? ???? 60,0,0,0,0,0,0
29-05-2021,??? ??? 60,0,0,0,0,0,0
29-05-2021,??? ?????????,0,0,0,0,0,0
30-05-2021,??? ??? 60,0,0,0,0,0,0
30-05-2021,???? ???? 60,0,0,0,0,0,0
30-05-2021,??? ?????????,0,0,0,0,0,0
31-05-2021,??? ??? 60,0,0,0,0,0,0
31-05-2021,???? ???? 60,0,0,0,0,0,0
31-05-2021,??? ?????????,0,0,0,0,0,0
01-06-2021,??? ??? 60,0,0,0,0,0,0
01-06-2021,???? ???? 60,0,0,1,0,0,0
01-06-2021,??? ?????????,0,0,1,0,0,0
02-06-2021,??? ??? 60,0,0,0,0,0,0
02-06-2021,???? ???? 60,0,0,0,0,0,0
02-06-2021,??? ?????????,0,0,0,0,0,0
03-06-2021,??? ?????????,0,0,0,0,0,0
03-06-2021,??? ??? 60,0,0,0,0,0,0
03-06-2021,???? ???? 60,0,0,0,0,0,0
04-06-2021,??? ?????????,0,0,0,0,0,0
04-06-2021,???? ???? 60,0,0,0,0,0,0
04-06-2021,??? ??? 60,0,0,0,0,0,0
05-06-2021,??? ??? 60,0,0,0,0,0,0
05-06-2021,??? ?????????,0,0,1,0,0,0
05-06-2021,???? ???? 60,0,0,1,0,0,0
06-06-2021,??? ?????????,0,0,0,0,0,0
06-06-2021,??? ??? 60,0,0,0,0,0,0
06-06-2021,???? ???? 60,0,0,0,0,0,0
07-06-2021,??? ??? 60,0,0,0,0,0,0
07-06-2021,??? ?????????,0,0,1,0,0,0
07-06-2021,???? ???? 60,0,0,1,0,0,0
08-06-2021,??? ??? 60,0,0,0,0,0,0
08-06-2021,???? ???? 60,0,0,0,0,0,0
08-06-2021,??? ?????????,0,0,0,0,0,0
09-06-2021,???? ???? 60,0,0,0,0,0,0
09-06-2021,??? ?????????,0,0,0,0,0,0
09-06-2021,??? ??? 60,0,0,0,0,0,0
10-06-2021,??? ?????????,0,0,0,0,0,0
10-06-2021,???? ???? 60,0,0,0,0,0,0
10-06-2021,??? ??? 60,0,0,0,0,0,0
11-06-2021,???? ???? 60,0,0,0,0,0,0
11-06-2021,??? ?????????,0,0,0,0,0,0
11-06-2021,??? ??? 60,0,0,0,0,0,0
12-06-2021,???? ???? 60,0,0,0,0,0,0
12-06-2021,??? ??? 60,0,0,0,0,0,0
12-06-2021,??? ?????????,0,0,0,0,0,0
13-06-2021,???? ???? 60,0,0,0,0,0,0
13-06-2021,??? ??? 60,0,0,0,0,0,0
13-06-2021,??? ?????????,0,0,0,0,0,0
14-06-2021,??? ?????????,0,0,0,0,0,0
14-06-2021,??? ??? 60,0,0,0,0,0,0
14-06-2021,???? ???? 60,0,0,0,0,0,0
15-06-2021,??? ??? 60,0,0,0,0,0,0
15-06-2021,??? ?????????,0,0,0,0,0,0
15-06-2021,???? ???? 60,0,0,0,0,0,0
16-06-2021,??? ??? 60,0,0,1,0,0,0.5
16-06-2021,??? ?????????,0,0,1,0,0,0
16-06-2021,???? ???? 60,0,0,0,0,0,0
17-06-2021,??? ?????????,0,0,0,0,0,0
17-06-2021,??? ??? 60,0,0,0,0,0,0
17-06-2021,???? ???? 60,0,0,0,0,0,0
18-06-2021,??? ?????????,0,0,0,0,0,0
18-06-2021,??? ??? 60,0,0,0,0,0,0
18-06-2021,???? ???? 60,0,0,0,0,0,0
19-06-2021,??? ?????????,0,0,0,0,0,0
19-06-2021,???? ???? 60,0,0,0,0,0,0
19-06-2021,??? ??? 60,0,0,0,0,0,0
20-06-2021,??? ?????????,0,0,0,0,0,0
20-06-2021,??? ??? 60,0,0,0,0,0,0
20-06-2021,???? ???? 60,0,0,0,0,0,0
21-06-2021,??? ??? 60,0,0,0,0,0,0
21-06-2021,??? ?????????,0,0,0,0,0,0
21-06-2021,???? ???? 60,0,0,0,0,0,0
22-06-2021,???? ???? 60,0,0,0,0,0,0
22-06-2021,??? ?????????,0,0,0,0,0,0
22-06-2021,??? ??? 60,0,0,0,0,0,0
23-06-2021,??? ??? 60,0,0,0,0,0,0
23-06-2021,???? ???? 60,0,0,0,0,0,0
23-06-2021,??? ?????????,0,0,0,0,0,0
24-06-2021,??? ?????????,0,0,0,0,0,0
24-06-2021,??? ??? 60,0,0,0,0,0,0
24-06-2021,???? ???? 60,0,0,0,0,0,0
25-06-2021,??? ?????????,0,0,1,0,0,0
25-06-2021,???? ???? 60,0,0,0,0,0,0
